050-422		0.047
4242-458	0.216
4244-554	0.521
4245-742	0.287
4252-608	0.438
4252-616	0.557
4254-551	0.350
4258-744	0.327
4260-612	0.398
4261-352	0.271
4261-422	0.228
4261-626	0.592
4263-460	0.202
4265-630	0.374
4266-615	0.354
4268-414	0.271
4271-440	0.319
4272-545	0.361
4272-622	0.334
4273-639	0.242
4273-704	0.223
4277-539	0.237
4280-551	0.331
4284-308	0.482
4285-444	0.211
4289-524	0.307
4289-647	0.362
4292-323	0.693
4293-557	0.221
4320-626	0.176
4331-453	0.216
4332-401	0.442
4334-560	0.573
4335-207	0.271
4359-521	0.186
4374-457	0.149
4376-329	0.274
4377-526	0.141
4378-434	0.142
4381-411	0.119
4383-343	0.177
4385-243	0.104
4389-327	0.229
4396-541	0.126
4402-400	0.215
4405-349	0.295
4406-330	0.118
4407-229	0.189
4409-243	0.095
4456-324	0.192
